set_num,value
41187-1,108.01
41188-1,64.66
41196-1,154.28
41230-1,13.91
41231-1,24.85
41232-1,60.65
41233-1,18.36
41234-1,23.15
41238-1,75.0
41239-1,152.77
41250-1,29.69
41251-1,20.86
41253-1,24.85
41254-1,49.23
41255-1,44.73
41256-1,76.48
41258-1,128.65
41287-1,14.91
41288-1,51.38
41300-1,15.0
41301-1,38.48
41302-1,4.97
41303-1,10.81
41305-1,18.97
41306-1,21.5
41307-1,22.77
41308-1,30.78
41309-1,18.97
41311-1,35.42
41313-1,69.43
41315-1,17.71
41317-1,86.27
41318-1,216.23
41321-1,37.94
41327-1,22.73
41328-1,13.96
41329-1,30.78
41330-1,19.03
41332-1,47.83
41334-1,49.9
41338-1,46.14
41339-1,123.18
41341-1,15.43
41343-1,50.6
41346-1,62.17
41347-1,198.78
41349-1,43.21
41350-1,40.12
41351-1,52.9
41352-1,67.04
41354-1,7.61
41355-1,7.58
